time x1 y1 x2 y2
9.393900000000000361e+00 3.046561369343223080e-02 -3.988381205229542537e-01 -1.244960981829800750e-01 -3.007414742860248236e-02
9.394000000000000128e+00 2.798350381150546684e-02 -3.990199537797971541e-01 -1.293631600463104325e-01 -3.126728231048542250e-02
9.394099999999999895e+00 2.550214681079002177e-02 -3.991862228434755466e-01 -1.342232894754264161e-01 -3.246046017717768573e-02
9.394199999999999662e+00 2.302178816444181569e-02 -3.993369470381016306e-01 -1.390760874012913206e-01 -3.365364315744029389e-02
9.394300000000001205e+00 2.054268109283317531e-02 -3.994721495342549722e-01 -1.439211408464325104e-01 -3.484679211498614704e-02
9.394400000000000972e+00 1.806508667596484763e-02 -3.995918575789425553e-01 -1.487580227893263718e-01 -3.603986659507862900e-02
9.394500000000000739e+00 1.558927394412804382e-02 -3.996961027304306580e-01 -1.535862920725325764e-01 -3.723282477948774982e-02
9.394600000000000506e+00 1.311551994566541313e-02 -3.997849210970254585e-01 -1.584054933566064194e-01 -3.842562345026240278e-02
9.394700000000000273e+00 1.064410979070989222e-02 -3.998583535788183818e-01 -1.632151571217590469e-01 -3.961821796278391927e-02
9.394800000000000040e+00 8.175336669820256613e-03 -3.999164461113535185e-01 -1.680147997191472620e-01 -4.081056222856743743e-02
9.394899999999999807e+00 5.709501846483379557e-03 -3.999592499101189969e-01 -1.728039234735729568e-01 -4.200260870828198545e-02
9.394999999999999574e+00 3.246914622515920806e-03 -3.999868217147086735e-01 -1.775820168392428233e-01 -4.319430841545435218e-02
9.395100000000001117e+00 7.878922754726807968e-04 -3.999992240314501624e-01 -1.823485546100893084e-01 -4.438561093131621060e-02
9.395200000000000884e+00 -1.667240032744096885e-03 -3.999965253732502557e-01 -1.871029981859797797e-01 -4.557646443124502289e-02
9.395300000000000651e+00 -4.118149376780821588e-03 -3.999788004953643838e-01 -1.918447958959416111e-01 -4.676681572323060365e-02
9.395400000000000418e+00 -6.564495218828345253e-03 -3.999461306257656723e-01 -1.965733833793114615e-01 -4.795661029878628412e-02
9.395500000000000185e+00 -9.005929590187302866e-03 -3.998986036887558493e-01 -2.012881840254666654e-01 -4.914579239669147892e-02
9.395599999999999952e+00 -1.144209730373620115e-02 -3.998363145204445468e-01 -2.059886094725302819e-01 -5.033430507993036374e-02
9.395699999999999719e+00 -1.387263619748709681e-02 -3.997593650747061633e-01 -2.106740601651492240e-01 -5.152209032615123752e-02
9.395800000000001262e+00 -1.629717740925432437e-02 -3.996678646182243444e-01 -2.153439259711293075e-01 -5.270908913193439460e-02
9.395900000000001029e+00 -1.871534568229204012e-02 -3.995619299132392999e-01 -2.199975868563806836e-01 -5.389524163110809285e-02
9.396000000000000796e+00 -2.112675970157771449e-02 -3.994416853866303851e-01 -2.246344136172765127e-01 -5.508048722730207736e-02
9.396100000000000563e+00 -2.353103246023197093e-02 -3.993072632839972935e-01 -2.292537686691612231e-01 -5.626476474087022117e-02
9.396200000000000330e+00 -2.592777165537228645e-02 -3.991588038074406763e-01 -2.338550068893686107e-01 -5.744801257025072827e-02
9.396300000000000097e+00 -2.831658011250027390e-02 -3.989964552357982974e-01 -2.384374765127230400e-01 -5.863016886776378778e-02
9.396399999999999864e+00 -3.069705623732168695e-02 -3.988203740261557217e-01 -2.430005200771055696e-01 -5.981117172977323815e-02
9.396499999999999631e+00 -3.306879449369674873e-02 -3.986307248955274218e-01 -2.475434754162723627e-01 -6.099095940105936364e-02
9.396600000000001174e+00 -3.543138590621836004e-02 -3.984276808816935578e-01 -2.520656766967230844e-01 -6.216947049316634555e-02
9.396700000000000941e+00 -3.778441858571886941e-02 -3.982114233822771632e-01 -2.565664554950328746e-01 -6.334664421640018306e-02
9.396800000000000708e+00 -4.012747827581546189e-02 -3.979821421712587126e-01 -2.610451419116885385e-01 -6.452242062506169384e-02
9.396900000000000475e+00 -4.246014891842166128e-02 -3.977400353922464493e-01 -2.655010657171142929e-01 -6.569674087540383622e-02
9.397000000000000242e+00 -4.478201323598055006e-02 -3.974853095279528570e-01 -2.699335575252369002e-01 -6.686954749570633849e-02
9.397100000000000009e+00 -4.709265332801657739e-02 -3.972181793454666043e-01 -2.743419499896300184e-01 -6.804078466776092293e-02
9.397199999999999775e+00 -4.939165127945943645e-02 -3.969388678170585605e-01 -2.787255790169994030e-01 -6.921039851896287898e-02
9.397300000000001319e+00 -5.167858977806721182e-02 -3.966476060164113027e-01 -2.830837849925232907e-01 -7.037833742410348759e-02
9.397400000000001086e+00 -5.395305273817002645e-02 -3.963446329903210219e-01 -2.874159140113579647e-01 -7.154455231586026587e-02
9.397500000000000853e+00 -5.621462592786994478e-02 -3.960301956060796047e-01 -2.917213191104519598e-01 -7.270899700288685485e-02
9.397600000000000620e+00 -5.846289759677086167e-02 -3.957045483749074832e-01 -2.959993614946939688e-01 -7.387162849431061495e-02
9.397700000000000387e+00 -6.069745910127386651e-02 -3.953679532519665529e-01 -3.002494117513492822e-01 -7.503240732935739787e-02
9.397800000000000153e+00 -6.291790552446110962e-02 -3.950206794136416066e-01 -3.044708510467154516e-01 -7.619129791073986357e-02
9.397899999999999920e+00 -6.512383628760336218e-02 -3.946630030129318900e-01 -3.086630722989618936e-01 -7.734826884036971606e-02
9.397999999999999687e+00 -6.731485575036620650e-02 -3.942952069139408211e-01 -3.128254813211965302e-01 -7.850329325588090157e-02
9.398100000000001231e+00 -6.949057379685412428e-02 -3.939175804065921382e-01 -3.169574979289419558e-01 -7.965634916639685592e-02
9.398200000000000998e+00 -7.165060640472205311e-02 -3.935304189028284161e-01 -3.210585570063864691e-01 -8.080741978591382546e-02
9.398300000000000765e+00 -7.379457619469963203e-02 -3.931340236156681267e-01 -3.251281095260136200e-01 -8.195649386263903491e-02
9.398400000000000531e+00 -7.592211295801080950e-02 -3.927287012226010621e-01 -3.291656235164994171e-01 -8.310356600258583804e-02
9.398500000000000298e+00 -7.803285415933251812e-02 -3.923147635148954704e-01 -3.331705849740933534e-01 -8.424863698571238846e-02
9.398600000000000065e+00 -8.012644541311605972e-02 -3.918925270344650880e-01 -3.371424987130754447e-01 -8.539171407288020932e-02
9.398699999999999832e+00 -8.220254093129270023e-02 -3.914623127000084191e-01 -3.410808891512858709e-01 -8.653281130191808890e-02
9.398799999999999599e+00 -8.426080394059892731e-02 -3.910244454241754708e-01 -3.449853010271703990e-01 -8.767194977109138421e-02
